,Contributors,Topics,Tutorials,Hands-on,Slide-deck,Videos with slides,Workflows,Data on Zenodo
2016-08,,,,,,,,
2016-09,,,,,,,,
2016-10,,,,,,,,
2016-11,,,,,,,,
2016-12,,,,,,,,
2017-01,,,,,,,,
2017-02,,,,,,,,
2017-03,,,,,,,,
2017-04,,,,,,,,
2017-05,,11.0,42.0,31.0,2.0,0.0,18.0,0.0
2017-06,,13.0,64.0,49.0,21.0,0.0,24.0,1.0
2017-07,,13.0,63.0,49.0,21.0,0.0,23.0,1.0
2017-08,,13.0,63.0,49.0,21.0,0.0,23.0,1.0
2017-09,58.0,13.0,63.0,49.0,21.0,0.0,24.0,1.0
2017-10,60.0,13.0,68.0,54.0,23.0,0.0,27.0,1.0
2017-11,60.0,13.0,68.0,54.0,23.0,0.0,27.0,1.0
2017-12,62.0,13.0,69.0,55.0,24.0,0.0,27.0,1.0
2018-01,63.0,12.0,71.0,55.0,27.0,0.0,27.0,1.0
2018-02,64.0,12.0,74.0,57.0,28.0,0.0,28.0,1.0
2018-03,64.0,12.0,76.0,59.0,29.0,0.0,30.0,1.0
2018-04,64.0,12.0,76.0,59.0,29.0,0.0,31.0,1.0
2018-05,74.0,12.0,77.0,60.0,30.0,0.0,32.0,1.0
2018-06,80.0,14.0,86.0,68.0,31.0,0.0,32.0,2.0
2018-07,82.0,15.0,91.0,73.0,31.0,0.0,32.0,2.0
2018-08,91.0,16.0,85.0,67.0,31.0,0.0,33.0,55.0
2018-09,99.0,16.0,87.0,69.0,32.0,0.0,36.0,58.0
2018-10,103.0,16.0,90.0,72.0,35.0,0.0,38.0,61.0
2018-11,108.0,18.0,92.0,75.0,34.0,0.0,39.0,61.0
2018-12,108.0,18.0,94.0,77.0,34.0,0.0,41.0,63.0
2019-01,110.0,18.0,116.0,87.0,49.0,0.0,43.0,67.0
2019-02,111.0,18.0,124.0,91.0,53.0,0.0,46.0,72.0
2019-03,113.0,18.0,128.0,95.0,53.0,0.0,49.0,76.0
2019-04,115.0,18.0,128.0,100.0,50.0,0.0,53.0,81.0
2019-05,118.0,19.0,132.0,104.0,50.0,0.0,56.0,85.0
2019-06,127.0,19.0,136.0,107.0,51.0,0.0,57.0,86.0
2019-07,137.0,20.0,142.0,113.0,52.0,0.0,62.0,90.0
2019-08,139.0,21.0,145.0,116.0,52.0,0.0,64.0,92.0
2019-09,139.0,20.0,150.0,121.0,53.0,0.0,67.0,96.0
2019-10,140.0,20.0,152.0,123.0,53.0,0.0,68.0,98.0
2019-11,146.0,20.0,155.0,126.0,53.0,0.0,72.0,101.0
2019-12,147.0,20.0,159.0,130.0,53.0,0.0,74.0,105.0
2020-01,147.0,21.0,162.0,133.0,55.0,0.0,75.0,108.0
2020-02,149.0,21.0,164.0,135.0,59.0,0.0,77.0,110.0
2020-03,150.0,22.0,169.0,140.0,60.0,0.0,81.0,115.0
2020-04,150.0,22.0,169.0,140.0,60.0,0.0,81.0,115.0
2020-05,150.0,22.0,176.0,147.0,60.0,0.0,85.0,122.0
2020-06,152.0,22.0,178.0,149.0,60.0,0.0,85.0,124.0
2020-07,157.0,21.0,184.0,155.0,62.0,0.0,88.0,130.0
2020-08,157.0,21.0,185.0,156.0,63.0,0.0,88.0,131.0
2020-09,156.0,21.0,184.0,155.0,63.0,0.0,87.0,130.0
2020-10,161.0,21.0,190.0,161.0,63.0,1.0,96.0,135.0
2020-11,163.0,21.0,193.0,164.0,64.0,2.0,98.0,137.0
2020-12,166.0,21.0,195.0,167.0,63.0,2.0,100.0,140.0
2021-01,165.0,21.0,195.0,167.0,63.0,2.0,101.0,140.0
2021-02,173.0,21.0,208.0,178.0,69.0,16.0,108.0,147.0
2021-03,176.0,21.0,213.0,183.0,69.0,16.0,113.0,153.0
2021-04,178.0,21.0,218.0,188.0,71.0,17.0,118.0,158.0
2021-05,184.0,21.0,223.0,193.0,73.0,19.0,119.0,160.0
2021-06,189.0,21.0,234.0,205.0,76.0,20.0,123.0,167.0
2021-07,189.0,21.0,236.0,208.0,75.0,20.0,126.0,170.0
2021-08,191.0,21.0,239.0,211.0,76.0,20.0,129.0,172.0
2021-09,192.0,22.0,242.0,214.0,76.0,20.0,129.0,175.0
